Index 	On or around	Voluntary Dismissal	Litigation Name	Ticker	Filing Date	Docket	Class Start Date	Class End Date	SIC Code	Sector	Industry	Headquarter	Jurisdiction	Circuit	Court	Judge	Exchange	Market Status	Case Status	Settlement Amount
100738			PRINS Recycling Corporation	PRNS	05/29/1996	96-CV-2444	04/20/1995	04/04/1996	5090	Services	Waste Management Services	United States	United States	3rd	D. New Jersey	Hon. William H. Walls	NASDAQ	Public (Listed)	CASE SETTLED	880000
100746			"ValuJet Airlines, Inc."	VJET	05/30/1996	96-CV-1355	06/08/1995	05/30/1996	4512	Transportation	Airline	United States	United States	11th	N.D. Georgia	Hon. Jack T. Camp	NASDAQ	Public (Listed)	CASE SETTLED	5000000
100593			Number Nine Visual Technology Corporation	NINE	06/11/1996	96-CV-11207	05/26/1995	01/31/1996	3577	Technology	Computer Peripherals	United States	United States	1st	D. Massachusetts	Hon. Mark L. Wolf	NASDAQ	Public (Listed)	CASE SETTLED	3000000
101201			"BHP Copper, Inc. : Magma Copper Company"		06/13/1996	96-CV-390	05/16/1995	06/14/1995	3330	Basic Materials	Metal Mining	United States	United States	9th	D. Arizona	Hon. William D. Browning			CASE SETTLED	12503491
100815			"Discreet Logic, Inc."	DSLGF	06/13/1996	96-CV-11232	11/14/1995	02/13/1996	7373	Technology	Software & Programming	Canada	Canada	1st	D. Massachusetts	Hon. Edward F. Harrington	NASDAQ	Public (Listed)	CASE SETTLED	10800000
100143			Gaming Lottery Corporation	GLCCF	06/14/1996	96-CV-0924	06/08/1995	05/24/1996	2750	Services	Printing Services	Canada	Canada	9th	W.D. Washington	Hon. Carolyn R. Dimmick	NASDAQ	Public (Listed)	CASE SETTLED	1000000
100744			"Hart Brewing, Inc."	HOPS	06/14/1996	96-CV-1077	12/13/1995	06/14/1996	2082	Consumer Non-Cyclical	Beverages (Alcoholic)	United States	United States	9th	S.D. California	Hon. Judith N. Keep	NASDAQ	Public (Listed)	CASE DISMISSED	0
100976			Great Western Financial Corporation : Sierra Trust Funds		06/18/1996	96-CV-1200			6035	Financial	Other (Mutual Fund)	United States	United States	11th	M.D. Florida	"Hon. Henry L. Adams, Jr."	Open-end Fund	Open-end Fund	CASE SETTLED	4572.78
100599			OrthoLogic Corporation	OLGC	06/21/1996	96-CV-01514	05/31/1996	06/18/1996	3841	Healthcare	Medical Equipment & Supplies	United States	United States	9th	D. Arizona	Hon. Robert C. Broomfield	NASDAQ	Public (Listed)	CASE SETTLED	3600000
100775			Tower Semiconductor Ltd.	TSEM	06/21/1996	96-CV-3090	05/25/1995	06/10/1996	3674	Technology	Semiconductors	Israel	Israel	2nd	E.D. New York	Hon. I. Leo Glasser	NASDAQ	Public (Listed)	CASE SETTLED	16275000
100743			Putnam Convertible Opportunities and Income Trust	PCV	06/25/1996	96-CV-4810	06/26/1995	06/25/1996	6726	Financial	Other (Mutual Fund)	United States	United States	2nd	S.D. New York	Hon. Robert P. Patterson	New York SE	Public (Listed)	CASE DISMISSED	0
100741			"ProNet, Inc."	PNET	06/27/1996	96-CV-1795	05/30/1996	06/24/1996	4812	Technology	Communications Equipment	United States	United States	5th	N.D. Texas	Hon. Jorge A. Solis	NASDAQ	Public (Listed)	CASE SETTLED	10250000
100737			"Presstek, Inc."	PRST	06/28/1996	96-CV-00347	02/27/1996	06/17/1996	3555	Capital Goods	Misc. Capital Goods	United States	United States	1st	D. New Hampshire	Hon. Steven J. McAuliffe	NASDAQ	Public (Listed)	CASE SETTLED	22003496.82
100301			"Manhattan Bagel Company, Inc."	BGLS	07/02/1996	96-CV-3351	05/13/1996	06/20/1996	2040	Consumer Non-Cyclical	Crops	United States	United States	3rd	D. New Jersey	Hon. Mary L. Parell	NASDAQ	Public (Listed)	CASE SETTLED	1200000
100002			"The Italian Oven, Inc."	OVEN	07/02/1996	96-CV-1248	11/21/1995	06/24/1996	5812	Services	Restaurants	United States	United States	3rd	W.D. Pennsylvania	Hon. D. Brooks Smith	NASDAQ	Public (Listed)	CASE SETTLED	3278000
100900			"International Automated Systems, Inc."	IAUS	07/03/1996	96-CV-0583	05/13/1996	06/28/1996	7372	Technology	Software & Programming	United States	United States	10th	D. Utah	Hon. Tena Campbell	OTC-BB	Public (Listed)	CASE DISMISSED	0
100909			Ivax Corporation	IVX	07/03/1996	96-CV-1843	02/26/1996	06/27/1996	2834	Healthcare	Biotechnology & Drugs	United States	United States	11th	S.D. Florida	Hon. Federico A. Moreno	American SE	Public (Listed)	CASE DISMISSED	0
100595			"Oak Technology, Inc."	OAKT	07/09/1996	96-CV-20552	10/26/1995	05/22/1996	3674	Technology	Semiconductors	United States	United States	9th	N.D. California	Hon. Spencer Williams	NASDAQ	Public (Listed)	CASE DISMISSED	0
100985			"Ernst Home Centers, Inc."	ERNS	07/16/1996	96-CV-1096	09/27/1994	01/26/1996	5211	Services	Retail (Home Improvement)	United States	United States	9th	W.D. Washington	Hon. Carolyn R. Dimmick	NASDAQ	Public (Listed)	CASE DISMISSED	0
100993			"FMR Corporation, Fidelity Management & Research Company and Fidelity Magellan Fund : Micron Technology Inc. Stock"	MU	07/17/1996	96-CV-1395	10/04/1995	11/30/1995	6411	Financial	Insurance (Miscellaneous)	United States	United States	11th	M.D. Florida	"Hon. Henry L. Adams, Jr."	New York SE	Public (Listed)	CASE DISMISSED	0
100133			"Factory Stores of America, Inc."	FAC	07/19/1996	96-CV-642	12/16/1993	04/17/1996	6798	Services	Real Estate Operations	United States	United States	4th	E.D. North Carolina	Hon. Terrence W. Boyle	New York SE	Public (Listed)	CASE DISMISSED	0
100287			CompuServe Corporation	CSRV	07/22/1996	96-CV-717	04/18/1996	07/16/1996	7370	Technology	Computer Services	United States	United States	6th	S.D. Ohio	Magistrate Judge Norah M. King	NASDAQ	Public (Listed)	CASE DISMISSED	0
100479			"Diamond Multimedia Systems, Inc."	DIMD	07/24/1996	96-CV-2644	11/01/1995	06/20/1996	3577	Technology	Computer Peripherals	United States	United States	9th	N.D. California	Hon. Saundra B. Armstrong	NASDAQ	Public (Listed)	CASE SETTLED	15000000
100898			"Integrated Communication Network, Inc."	ICNI	07/24/1996	96-CV-2021	06/29/1995	08/31/1995	7812	Services	Motion Pictures	United States	United States	11th	S.D. Florida	Hon. James Lawrence King	NASDAQ	Public (Listed)	CASE SETTLED	190307.67
100147			"Fritz Companies, Inc."	FRTZ	07/31/1996	96-CV-2712	08/28/1995	07/23/1996	4731	Transportation	Misc. Transportation	United States	United States	9th	N.D. California	Hon. Marilyn Hall Patel	NASDAQ	Public (Listed)	CASE DISMISSED	0
100145			"General Nutrition Companies, Inc."	GNCI	08/02/1996	96-CV-1455	02/07/1996	05/28/1996	5400	Services	Retail (Grocery)	United States	United States	3rd	W.D. Pennsylvania	Hon. William L. Standish	NASDAQ	Public (Listed)	CASE DISMISSED	0
100469			Micrion Corporation	MICN	08/02/1996	96-CV-11596	04/26/1996	06/21/1996	3559	Capital Goods	Constr. & Agric. Machinery	United States	United States	1st	D. Massachusetts	Hon. Robert E. Keeton	NASDAQ	Public (Listed)	CASE DISMISSED	0
101216			"Summit Technology, Inc."	BEAM	08/02/1996	96-CV-11589	05/12/1995	07/03/1996	8700	Services	Business Services	United States	United States	1st	D. Massachusetts	Hon. Joseph L. Tauro	NASDAQ	Public (Listed)	CASE SETTLED	10000000
101212			Stratosphere Corporation	TOWV	08/05/1996	96-CV-00708	12/19/1995	07/22/1996	7011	Services	Hotels & Motels	United States	United States	9th	D. Nevada	Hon. Philip M. Pro	NASDAQ	Public (Listed)	CASE SETTLED	9000000
101049			"Comshare, Inc."	CSRE	08/09/1996	96-CV-73711	04/17/1996	08/06/1996	7372	Technology	Software & Programming	United States	United States	6th	E.D. Michigan	Hon. Lawrence P. Zatkoff	NASDAQ	Public (Listed)	CASE DISMISSED	0
100806			United HealthCare Corporation (1996)	UNH	08/09/1996	96-CV-750	10/03/1995	07/10/1996	6324	Financial	Insurance (Accident & Health)	United States	United States	8th	D. Minnesota	Hon. Michael J. Davis	New York SE	Public (Listed)	CASE DISMISSED	0
101152			Amsouth Bancorporation		08/12/1996	96-CV-01567	01/01/1993	08/12/1996	6022	Financial	Regional Banks	United States	United States	11th	M.D. Florida	Hon. Elizabeth A. Kovachevich	Privately Traded	Privately Held	CASE DISMISSED	0
100144			Foxmeyer Health Corporation	FOX	08/12/1996	96-CV-2258	07/19/1995	07/01/1996	5122	Services	Retail (Drugs)	United States	United States	5th	N.D. Texas	Hon. Robert B. Maloney	New York SE	Public (Listed)	CASE SETTLED	14250135
100299			Madge Networks N.V.	MADGF	08/13/1996	96-CV-20652	10/12/1995	06/13/1996	3577	Technology	Computer Networks	Netherlands	Netherlands	9th	N.D. California	Hon. Ronald M. Whyte	NASDAQ	Public (Listed)	CASE DISMISSED	0
100017			Pepsi Cola Puerto Rico Bottling Company	PPO	08/14/1996	96-CV-4010	02/13/1996	08/12/1996	2086	Consumer Non-Cyclical	Beverages (Non-Alcoholic)	United States	United States	2nd	E.D. New York	Hon. John Gleeson	New York SE	Public (Listed)	CASE SETTLED	2500000
101087			"Northern Trust Bank of California : Wheatley Ventures, Inc. Notes of the Partnership"		08/15/1996	96-CV-2934	08/20/1993	08/15/1996		Financial	Misc. Financial Services	United States	United States	9th	N.D. California	Hon. Marilyn Hall Patel	Privately Traded	Privately Held	CASE DISMISSED	0
100024			Proxima Corporation	PRXM	08/16/1996	96-CV-1431	07/26/1994	08/17/1995	3577	Technology	Computer Peripherals	United States	United States	9th	S.D. California	Magistrate Judge Anthony J. Battaglia	NASDAQ	Public (Listed)	CASE SETTLED	6500000
100006			Medaphis Corporation	MEDA	08/19/1996	96-CV-2088	03/13/1996	08/14/1996	8700	Technology	Software & Programming	United States	United States	11th	N.D. Georgia	Hon. Frank M. Hull	NASDAQ	Public (Listed)	CASE SETTLED	4750000
101296			"Nutrition for Life International, Inc."	NFLI	08/19/1996	96-CV-02678	07/11/1995	07/16/1996	5122	Consumer Non-Cyclical	Personal & Household Products	United States	United States	5th	S.D. Texas	Hon. Ewing Werlein Jr.	NASDAQ	Public (Listed)	CASE SETTLED	3500000
100860			"Housecall Medical Resources, Inc."	HSCL	08/30/1996	96-CV-02214	04/04/1996	08/28/1996	8082	Healthcare	Healthcare Facilities	United States	United States	11th	N.D. Georgia	Hon. Julie E. Carnes	NASDAQ	Public (Listed)	CASE SETTLED	4000000
100881			Quantum Corporation	QNTM	08/30/1996	96-CV-20711	02/26/1996	06/13/1996	3572	Technology	Computer Storage Devices	United States	United States	9th	N.D. California	Hon. Spencer Williams	New York SE	Public (Listed)	CASE DISMISSED	0
100254			"Grand Casinos, Inc."	GND	09/09/1996	96-CV-890	12/19/1995	07/22/1996	7011	Services	Hotels & Motels	United States	United States	8th	D. Minnesota	Hon. John R. Tunheim	New York SE	Public (Listed)	CASE SETTLED	9000000
101228			Brauvin Partnerships		09/18/1996	96-CV-6025	08/23/1996	09/18/1996	6500	Services	Real Estate Operations	United States	United States	7th	N.D. Illinois	Hon. Joan B. Gottschall	Privately Traded	Privately Held	CASE SETTLED	0
100020			"Physician Reliance Network Inc. and Texas Oncology, P.A."	USON	09/18/1996	96-CV-2628	02/12/1996	07/11/1996	8093	Healthcare	Healthcare Facilities	United States	United States	5th	N.D. Texas	Hon. Jane J Boyle	NASDAQ	Public (Listed)	CASE SETTLED	1975000
101234			Buenos Aires Embotelladora S.A. (BAESA) : Bonds and American Depositary Shares	BAE	09/30/1996	96-CV-7435	11/16/1995	07/02/1996	2086	Consumer Non-Cyclical	Beverages (Non-Alcoholic)	Argentina	Argentina	2nd	S.D. New York	Hon. Jed S. Rakoff	New York SE	Public (Listed)	CASE SETTLED	211505.57
100870			"IMP, Inc."	IMPXC	10/01/1996	96-CV-20826 	04/24/1996	07/22/1996	3674	Technology	Semiconductors	United States	United States	9th	N.D. California	Hon. Spencer Williams	NASDAQ	Public (Listed)	CASE SETTLED	9500000
101070			"Micro Warehouse, Inc."	MWHS	10/01/1996	96-CV-01920	03/26/1995	09/27/1996	5961	Financial	Misc. Financial Services	United States	United States	2nd	D. Connecticut	Hon. Dominic J. Squatrito	NASDAQ	Public (Listed)	CASE SETTLED	30000000
100665			"Performance Nutrition, Inc."	PNII	10/01/1996	96-CV-2754	03/08/1994	09/04/1996		Healthcare	Biotechnology & Drugs	United States	United States	5th	N.D. Texas	Hon. Robert B. Maloney	OTC-BB	Public (Listed)	CASE DISMISSED	0
103557			4987 Corporation and 498 Seventh Avenue Associates : Garment Capitol Associates		10/04/1996	96-CV-7570	04/30/1994	07/26/1996	6512	Services	Real Estate Operations	United States	United States	2nd	S.D. New York	"Hon. Harold Baer, Jr"	Privately Traded	Privately Held	CASE DISMISSED	0
100484			"MobileMedia Communications, Inc."	MBLM	10/04/1996	96-CV-04715	08/02/1995	09/27/1996	4812	Services	Communications Services	United States	United States	3rd	D. New Jersey	Hon. John W. Bissell	NASDAQ	Public (Listed)	CASE SETTLED	26950000
101186			Solv-Ex Corporation	SOLV	10/04/1996	96-CV-7575	02/15/1995	09/30/1996	1311	Energy	Oil & Gas Operations	United States	United States	2nd	S.D. New York	Hon. Loretta A. Preska	NASDAQ	Public (Listed)	CASE DISMISSED	0
100500			"Network Express, Inc."	NETK	10/07/1996	96-CV-74627	03/13/1995	10/06/1995	7373	Services	Personal Services	United States	United States	6th	E.D. Michigan	Hon. Gerald E. Rosen	NASDAQ	Public (Listed)	CASE DISMISSED	0
100866			"Identix, Inc."	IDX	10/08/1996	97-CV-20082	01/31/1996	08/26/1996	3577	Technology	Computer Peripherals	United States	United States	9th	N.D. California	Hon. Ronald M. Whyte	American SE	Public (Listed)	CASE SETTLED	3000000
100946			Lincoln National Bank	LBUNL	10/08/1996	96-CV-6595	05/17/1996	09/14/1996	6019	Financial	S&Ls/Savings Banks	United States	United States	7th	N.D. Illinois	Hon. Ian H. Levin	Privately Traded	Privately Held	CASE SETTLED	0
101241			Paracelsus Healthcare Corporation	PLS	10/15/1996	96-CV-3464	08/13/1996	10/11/1996	8062	Healthcare	Healthcare Facilities	United States	United States	5th	S.D. Texas	Hon. Ewing Werlein Jr	New York SE	Public (Listed)	CASE SETTLED	17904567
101200			"Sterling Foster & Company Inc. : Advanced Voice Technologies, Inc.; Comtech Communication Technologies, Inc.; Embryo Development Corporation; Applewoods, Inc.; ML Direct, Inc.; Lasergate Systems, Inc."	HMWK	10/15/1996	96-CV-2048	02/06/1995	10/08/1996	6211	Financial	Investment Services	United States	United States	8th	E.D. Missouri	Hon. Catherine D. Perry	NASDAQ	Public (Listed)	CASE SETTLED	1400000
100483			Digital Link Corporation	DLNK	10/17/1996	96-CV-20867	09/12/1994	12/29/1995	4899	Services	Communications Services	United States	United States	9th	N.D. California	Hon. Ronald M. Whyte	NASDAQ	Public (Listed)	CASE SETTLED	3350000
100464			"DAKA International, Inc."	DKAI	10/18/1996	96-CV-12109	10/30/1995	09/09/1996	5812	Services	Restaurants	United States	United States	1st	D. Massachusetts	"Hon. George A. O'Toole, Jr."	NASDAQ	Public (Listed)	CASE SETTLED	3500000
100602			Pacific Scientific Company	PSX	10/18/1996	96-CV-975	10/03/1994	07/02/1996	3812	Capital Goods	Aerospace & Defense	United States	United States	9th	C.D. California	Hon. Linda H. McLaughlin	New York SE	Public (Listed)	CASE SETTLED	14800000
100842			Home Link Corporation		10/21/1996	96-CV-7206	02/22/1996	06/10/1996		Technology	Communications Equipment	United States	United States	11th	S.D. Florida	Hon. Edward B. Davis	OTC-BB	OTC (Delisted)	CASE DISMISSED	0
100453			"Cree Research, Inc."	CREE	10/25/1996	96-CV-00890	02/01/1996	07/02/1996	3674	Technology	Semiconductors	United States	United States	4th	M.D. North Carolina	Hon. Richard C. Erwin	NASDAQ	Public (Listed)	CASE DISMISSED	0
100852			"Metal Recovery Technologies, Inc. (f/k/a Malvy Technology Inc.)"	MRTI	10/31/1996	 96-CV-00525	11/01/1993	05/24/1995	1040	Basic Materials	Metal Mining	United States	United States	3rd	D. Delaware	Hon. Joseph J. Farnan Jr.	NASDAQ	Public (Listed)	CASE SETTLED	3450000
100152			Glenayre Technologies Inc.	GEMS	11/01/1996	96-CV-8252	01/04/1996	09/13/1996	3661	Technology	Communications Equipment	United States	United States	2nd	S.D. New York	Hon. Harold Baer Jr.	NASDAQ	Public (Listed)	CASE DISMISSED	0
101032			Chemical Investment Services Corporation		11/06/1996	96-CV-08331	11/10/1995	05/09/1996		Financial	Consumer Financial Services	United States	United States	2nd	S.D. New York	Hon. Denise L. Cote	Privately Traded	Privately Held	CASE DISMISSED	0
100242			Dominion Bridge Corporation : Cedar Group Inc. common stock	CGMV	11/12/1996	96-CV-7580	04/20/1995	05/18/1996	1629	Technology	Software & Programming	Canada	United States	3rd	E.D. Pennsylvania	Hon. Lowell A. Reed Jr.	NASDAQ	Public (Listed)	CASE SETTLED	750000
100492			"DonnKenny, Inc."	DNKY	11/12/1996	96-CV-8452	02/14/1995	11/06/1996	2331	Consumer Cyclical	Apparel/Accessories	United States	United States	2nd	S.D. New York	Hon. Miriam G. Cedarbaum	NASDAQ	Public (Listed)	CASE SETTLED	15002500
100872			"Individual, Inc."	INDV	11/13/1996	96-CV-12272 	03/15/1996	07/24/1996	7375	Technology	Computer Services	United States	United States	1st	D. Massachusetts	Hon. Douglas P. Woodlock	NASDAQ	Public (Listed)	CASE DISMISSED	0
100799			Hallwood Energy Corporation	HECO	11/15/1996	96-CV-2665	10/15/1996	11/15/1996	1311	Energy	Oil & Gas Operations	United States	United States	10th	D. Colorado	Hon. Walker D. Miller	NASDAQ	Public (Listed)	CASE SETTLED	673000
100933			"Rockefeller Center Properties, Inc."	RCP	11/15/1996	96-CV-543	02/08/1996	02/14/1996	6798	Financial	Investment Services	United States	United States	3rd	D. Delaware	Hon. Roderick R. McKelvie	New York SE	Public (Listed)	CASE DISMISSED	0
100931			"RISCORP, Inc."	RISC	11/20/1996	96-CV-2374	02/28/1996	11/14/1996	6331	Financial	Insurance (Life)	United States	United States	11th	M.D. Florida	Hon. Steven D. Merryday	NASDAQ	Public (Listed)	CASE SETTLED	21000000
100202			"CAI Wireless Systems, Inc."	CAWS	11/22/1996	96-CV-1857	05/23/1996	10/29/1996	4841	Services	Broadcasting & Cable TV	United States	United States	2nd	N.D. New York	Hon. Lawrence E. Kahn	NASDAQ	Public (Listed)	CASE SETTLED	3000000
101131			Wonderware Corporation	WNDR	11/26/1996	96-CV-7883	08/30/1995	12/08/1995	7372	Technology	Software & Programming	United States	United States	3rd	E.D. Pennsylvania	Hon. J.C. Joyner	NASDAQ	Public (Listed)	CASE SETTLED	400000
100768			"Teletek, Inc."	TLTK	12/02/1996	96-CV-01114	11/22/1993	11/07/1996	4899	Services	Communications Services	United States	United States	9th	D. Nevada	Hon. Kent J. Dawson	NASDAQ	Public (Listed)	CASE DISMISSED	0
100598			Open Environment Corporation	OPEN	12/05/1996	96-CV-12466	04/13/1995	10/10/1996	7372	Technology	Computer Hardware	United States	United States	1st	D. Massachusetts	Hon. Edward F. Harrington	NASDAQ	Public (Listed)	CASE SETTLED	6000000
